,text
5,काठमाडौं । देशभर थप १६ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २७९ जनाको पीसीआर र ६४२ जनाको एन्टीजेन विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा
6,काठमाडौं । बुधबार कोरोना संक्रमितको संख्या शून्य रहेको छ ।गत २४ घण्टामा १३ सय ८७ जनाको नमूना परीक्षण गरिएको थियो । ५ सय ५७ जनाको पीसीआर र ८ सय ३०
7,काठमाडौं । मंगलबार कोरोना संक्रमितको संख्या शून्य रहेको छ । गत २४ घण्टामा ९ सय ९ जनाको नमूना परीक्षण गरिएको हाे । ९६ जनाको पीसीआर र ८ सय १३ जनाको
8,काठमाडौं । देशभर थप ३ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १८६१ जनाको नमूना परीक्षण गरिएको थियो । २०३ जनाको पीसीआर र १६५८ जनाको एन्टीजेन विधिबाट
9,काठमाडौं । देशभर थप २ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १८३ जनाको पीसीआर विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा १ जनामा कोरोना संक्रमण
0,काठमाडौं । देशभर थप ६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १०१९ जनाको नमूना परीक्षण गरिएको थियो । १०० जनाको पीसीआर र ९१९ जनाको एन्टीजेन विधिबाट
1,काठमाडौं । बिहीबार कोरोना संक्रमितको संख्या शून्य पुष्टि भएको छ । पछिल्लो २४ घण्टामा ११०१ जनाको नमूना परीक्षण गरिएको थियो । ९३ जनाको पीसीआर र १००८ जनाको एन्टीजेन विधिबाट परीक्षण
2,काठमाडौं । देशभर थप ४ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ९५० जनाको नमूना परीक्षण गरिएको थियो । १३३ जनाको पीसीआर र ८१७ जनाको एन्टीजेन विधिबाट
3,काठमाडौं । देशभर थप ३ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १८ सय ९० जनाको नमूना परीक्षण गरिएको थियो । ३ सय २५ जनाको पीसीआर र
4,काठमाडौं । देशभर थप ७ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ६ सय जनाको नमूना परीक्षण गरिएको थियो । ११८ जनाको पीसीआर र ४८२ जनाको एन्टीजेन
5,काठमाडौं । शुक्रबार देशभर कोरोना संक्रमण संख्या शून्य रहेको छ । पछिल्लो २४ घण्टामा ५१८जनाको नमूना परीक्षण गरिएको थियो । पछिल्लो २४ घण्टामा १११ जनाको पीसीआर र ४०७ जनाको एन्टीजेन
6,काठमाडौं । देशभर थप ४ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ५०१ जनाको नमूना परीक्षण गरिएको थियो । १०३ जनाको पीसीआर र ३९८ जनाको एन्टीजेन विधिबाट
7,काठमाडौं । देशभर थप १ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ४९२ जनाको नमूना परीक्षण गरिएको थियो । ७३ जनाको पीसीआर र ४१९ जनाको एन्टीजेन विधिबाट
8,काठमाडौं । मंगलबार देशभर कोरोना संक्रमण संख्या शून्य रहेको छ । पछिल्लो २४ घण्टामा १०७२ जनाको नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा कसैमा पनि कोरोना संक्रमण पुष्टि नभएको स्वास्थ्य
9,काठमाडौं । सोमबार देशभर कोरोना संक्रमण संख्या शून्य रहेको छ । पछिल्लो २४ घण्टामा १७३ जनाको पीसीआर विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा कसैमा पनि कोरोना संक्रमण पुष्टि
0,काठमाडौं । पछिल्लो २४ घण्टामा देशभर कसैमा पनि कोरोना क्रमण पुष्टि भएको छैन । गत २४ घण्टामा ८९२ जनाको नमूना परीक्षण गरिएको थियो । ११४ जनाको पीसीआर र ७७८ जनाको
1,काठमाडौं । देशभर थप १ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ७१८ जनाको नमूना परीक्षण गरिएको थियो । १६७ जनाको पीसीआर र ५५१ जनाको एन्टीजेन विधिबाट
2,काठमाडौं । देशभर थप ३ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ९६६ जनाको नमूना परीक्षण गरिएको थियो । ३८६ जनाको पीसीआर र ५८० जनाको एन्टीजेन विधिबाट
3,एजेन्सी । हङकङले ९४५ दिनपछि अनिवार्य मास्कको नीति हटाएको छ । कोभिड संक्रमण तीब्र भएपछि सन् २०२० को जुलाईदेखि लागू गरिएको अनिवार्य मास्क नीति बुधबारदेखि हटाइएको हो । हङकङका कार्यकारी
4,काठमाडौं । देशभर थप २ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १०१५ जनाको नमूना परीक्षण गरिएको थियो । ४ सय १३ जनाको पीसीआर र ६ सय
5,काठमाडौं । देशभर थप २ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १०४३ जनाको नमूना परीक्षण गरिएको थियो । २ सय ८५ जनाको पीसीआर र ७ सय
6,काठमाडौं । पछिल्लो २४ घण्टामा देशभर कसैमा पनि कोरोना संक्रमण पुष्टि भएको छैन। गत २४ घण्टामा १५ सय ५२ जनाको नमूना परीक्षण गरिएको थियो । १५ सय ५१ जनाको पीसीआर
7,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप १ जनामा कोरोना संक्रमण पुष्टि भएको छ । गत २४ घण्टामा ८ सय २२ जनाको नमूना परीक्षण गरिएको थियो । ९१ जनाको पीसीआर
8,काठमाडौं । देशभर थप १ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ७ सय ११ जनाको नमूना परीक्षण गरिएको थियो । ७७ जनाको पीसीआर र ६ सय
9,काठमाडौं । देशभर थप २ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २२ सय ६६ जनाको नमूना परीक्षण गरिएको थियो । ५ सय ५६ जनाको पीसीआर र
0,काठमाडौं । देशभर थप २ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १४ सय ७ जनाको नमूना परीक्षण गरिएको थियो । ४ सय ८ जनाको पीसीआर र
1,काठमाडौं । पछिल्लो २४ घण्टामा कोरोना संक्रमण संख्या शून्य पुष्टि भएको छ । गत २४ घण्टामा ६६७ जनाको नमूना परीक्षण गरिएको स्वास्थ्य तथा जनसंख्या मन्त्रालयले जनाएको छ । १८९ जनाको
2,काठमाडौं । पछिल्लाे २४ घण्टामा थप ३ जनामा कोरोना क्रमण पुष्टि भएको छ । गत २४ घण्टामा ९ सय ३७ जनाको नमूना परीक्षण गरिएको हाे । १ सय ३ जनाको
3,काठमाडौं । थप ४ जनामा कोरोना भाइरस संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १६६३ जनाको नमूना परीक्षण गरिएको थियो । ४७१ जनाको पीसीआर र ११९२ जनाको एन्टीजेन विधिबाट
4,काठमाडौं । थप ३ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २४४ जनाको नमूना परीक्षण गरिएको थियो । २२३ जनाको पीसीआर र १ जनाको एन्टीजेन विधिबाट
5,काठमाडौं । थप ४ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १५ सय ४४ जनाको नमूना परीक्षण गरिएको थियो । २०९ जनाको पीसीआर र १३३५ जनाको
6,काठमाडौं । थप १ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ५ सय ४९ जनाको नमूना परीक्षण गरिएको थियो । ५४७ जनाको पीसीआर र २ जनाको
7,काठमाडौं । थप २ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ५ सय ६४ जनाको नमूना परीक्षण गरिएको थियो । ३१५ जनाको पीसीआर र
8,काठमाडौं । ३ जना कोरोना संक्रमित थपिएका छन् । पछिल्लो २४ घण्टामा १०८५ जनाको नमूना परीक्षण गरिएको थियो । ३७२ जनाको पीसीआर र ७१३ जनाको एन्टीजेन विधिबाट परीक्षण गर्दा संक्रमित
9,काठमाडौं । थप १ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २ हजार ३ सय १३ जनाको नमूना परीक्षण गरिएको थियो । ६५१ जनाको पीसीआर र
0,काठमाडौं । थप २ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । गत २४ घण्टामा २ सय २४ जनाको पीसीआर विधिबाट नमूना परीक्षण गर्दा २ जनामा संक्रमण पुष्टि भएको हो
1,काठमाडौं । थप १ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ८८६ जनाको नमूना परीक्षण गरिएको थियो । २८० जनाको पीसीआर र ६०६ जनाको एन्टीजेन विधिबाट
2,काठमाडौं । कोरोना संक्रमितको संख्या सोमबार शून्य रहेको छ । गत २४ घण्टामा १२११ जनाको नमूना परीक्षण गरिएको थियो । ५२५ जनाको पीसीआर र ६८६ जनाको एन्टीजेन विधिबाट परीक्षण गर्दा
3,काठमाडौं । कोरोना संक्रमितको संख्या शनिबार शून्य रहेको छ । गत २४ घण्टामा ११८७ जनाको नमूना परीक्षण गरिएको थियो । ३१७ जनाको पीसीआर र ८६१ जनाको एन्टीजेन विधिबाट परीक्षण गर्दा
4,काठमाडौं । कोरोना संक्रमितको संख्या शनिबार शून्य रहेको छ । गत २४ घण्टामा ३ सय ९५ जनाको पीसीआर विधिबाट नमूना परीक्षण गर्दा कसैमा पनि संक्रमण पुष्टि नभएको हो । स्वास्थ्य
5,काठमाडौं । थप १ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ११६१ जनाको नमूना परीक्षण गरिएको थियो । २७२ जनाको पीसीआर र ८८९ जनाको एन्टीजेन विधिबाट
6,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप १२ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ८५० जनाको नमूना परीक्षण गरिएको थियो । १५७ जनाको पीसीआर र
7,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप १ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २३२ जनाको नमूना परीक्षण गरिएको थियो । २२८ जनाको पीसीआर र
8,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप ३ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ११५६ जनाको नमूना परीक्षण गरिएको थियो । ३८६ जनाको पीसीआर र
9,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप ४ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ६५३ जनाको नमूना परीक्षण गरिएको थियो । ३२६ जनाको पीसीआर र
0,काठमाडौं । कोरोना संक्रमितकाे संख्या शनिबार शून्य रहेको छ । गत २४ घण्टामा ३ सय ३३ जनाको पीसीआर विधिबाट नमूना परीक्षण गर्दा कसैमा पनि संक्रमण पुष्टि नभएको हाे । स्वास्थ्य
1,काठमाडौं । थप ६ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १५० जनाको नमूना परीक्षण गर्दा ६ जनामा संक्रमण पुष्टि भएको स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयले जनाएको
2,काठमाडौं । थप ५ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २३१ जनाको नमूना परीक्षण गर्दा ५ जनामा संक्रमण पुष्टि भएको स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयले जनाएको
3,काठमाडौं । थप २ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ६२८ जनाको नमूना परीक्षण गरिएको थियो । २८६ जनाको पीसीआर र १३४२ जनाको
4,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप १ जनामा कोरोना भाइरस सङ्क्रमण पुष्टि भएको छ । सो अवधिमा ६७४ जनाको नमूना परीक्षण गर्दा १ जनामा संक्रमण पुष्टि भएको हो ।
